attempt_id;experiment_mode;distance_m;button_label;plug_label;button_time;plug_time;latency_ms;status
crossbinding_10m_001;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:20.416000;2026-02-20 09:44:20.427000;11;SUCCESS
crossbinding_10m_002;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:24.237000;2026-02-20 09:44:24.244000;7;SUCCESS
crossbinding_10m_003;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:27.886000;2026-02-20 09:44:27.906000;20;SUCCESS
crossbinding_10m_004;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:31.637000;2026-02-20 09:44:31.646000;9;SUCCESS
crossbinding_10m_005;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:35.388000;2026-02-20 09:44:35.395000;7;SUCCESS
crossbinding_10m_006;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:38.960000;2026-02-20 09:44:38.972000;12;SUCCESS
crossbinding_10m_007;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:42.498000;2026-02-20 09:44:42.506000;8;SUCCESS
crossbinding_10m_008;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:46.028000;2026-02-20 09:44:46.036000;8;SUCCESS
crossbinding_10m_009;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:49.498000;2026-02-20 09:44:49.504000;6;SUCCESS
crossbinding_10m_010;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:53.048000;2026-02-20 09:44:53.058000;10;SUCCESS
crossbinding_10m_011;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:44:56.688000;2026-02-20 09:44:56.696000;8;SUCCESS
crossbinding_10m_012;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:00.148000;2026-02-20 09:45:00.154000;6;SUCCESS
crossbinding_10m_013;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:03.488000;2026-02-20 09:45:03.496000;8;SUCCESS
crossbinding_10m_014;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:07.095000;2026-02-20 09:45:07.103000;8;SUCCESS
crossbinding_10m_015;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:10.754000;2026-02-20 09:45:10.761000;7;SUCCESS
crossbinding_10m_016;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:15.666000;2026-02-20 09:45:15.673000;7;SUCCESS
crossbinding_10m_017;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:19.305000;2026-02-20 09:45:19.315000;10;SUCCESS
crossbinding_10m_018;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:22.779000;2026-02-20 09:45:22.790000;11;SUCCESS
crossbinding_10m_019;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:26.155000;2026-02-20 09:45:26.163000;8;SUCCESS
crossbinding_10m_020;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:32.385000;2026-02-20 09:45:32.391000;6;SUCCESS
crossbinding_10m_021;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:36.134000;2026-02-20 09:45:36.147000;13;SUCCESS
crossbinding_10m_022;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:41.126000;2026-02-20 09:45:41.133000;7;SUCCESS
crossbinding_10m_023;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:44.667000;2026-02-20 09:45:44.681000;14;SUCCESS
crossbinding_10m_024;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:48.359000;2026-02-20 09:45:48.367000;8;SUCCESS
crossbinding_10m_025;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:55.213000;2026-02-20 09:45:55.223000;10;SUCCESS
crossbinding_10m_026;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:45:59.072000;2026-02-20 09:45:59.077000;5;SUCCESS
crossbinding_10m_027;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:46:02.457000;2026-02-20 09:46:02.463000;6;SUCCESS
crossbinding_10m_028;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:46:10.777000;2026-02-20 09:46:10.789000;12;SUCCESS
crossbinding_10m_029;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:46:18.505000;2026-02-20 09:46:18.524000;19;SUCCESS
crossbinding_10m_030;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:46:21.950000;2026-02-20 09:46:21.955000;5;SUCCESS
crossbinding_10m_031;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:46:25.972000;2026-02-20 09:46:25.982000;10;SUCCESS
crossbinding_10m_032;crossbinding;10;Z_Wave_Button;ZigbeePlugE2_Switch;2026-02-20 09:46:29.920000;2026-02-20 09:46:29.925000;5;SUCCESS
