attempt_id;experiment_mode;distance_m;button_label;plug_label;button_time;plug_time;latency_ms;status
crossbinding_10m_001;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:41:54.760000;2026-02-20 09:41:54.770000;10;SUCCESS
crossbinding_10m_002;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:41:57.615000;2026-02-20 09:41:57.622000;7;SUCCESS
crossbinding_10m_003;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:01.070000;2026-02-20 09:42:01.084000;14;SUCCESS
crossbinding_10m_004;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:04.525000;2026-02-20 09:42:04.534000;9;SUCCESS
crossbinding_10m_005;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:07.699000;2026-02-20 09:42:07.718000;19;SUCCESS
crossbinding_10m_006;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:10.418000;2026-02-20 09:42:10.425000;7;SUCCESS
crossbinding_10m_007;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:13.346000;2026-02-20 09:42:13.354000;8;SUCCESS
crossbinding_10m_008;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:16.590000;2026-02-20 09:42:16.598000;8;SUCCESS
crossbinding_10m_009;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:19.784000;2026-02-20 09:42:19.798000;14;SUCCESS
crossbinding_10m_010;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:23.228000;2026-02-20 09:42:23.235000;7;SUCCESS
crossbinding_10m_011;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:26.247000;2026-02-20 09:42:26.259000;12;SUCCESS
crossbinding_10m_012;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:29.191000;2026-02-20 09:42:29.199000;8;SUCCESS
crossbinding_10m_013;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:32.422000;2026-02-20 09:42:32.482000;60;SUCCESS
crossbinding_10m_014;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:35.362000;2026-02-20 09:42:35.370000;8;SUCCESS
crossbinding_10m_015;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:38.744000;2026-02-20 09:42:38.757000;13;SUCCESS
crossbinding_10m_016;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:41.881000;2026-02-20 09:42:41.888000;7;SUCCESS
crossbinding_10m_017;crossbinding;10;Zigbee_Smart_Button_01_Button_Action;ZWave_Plug_OnOff;2026-02-20 09:42:44.983000;2026-02-20 09:42:44.990000;7;SUCCESS
